EVENT_UNIQUE_ID,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DATE,MCI_CATEGORY,OFFENCE,DIVISION,HOOD_158,PREMISES_TYPE
GO-2020000332,2022,3,11,2022-03-11,Auto Theft,Auto Theft,D12,70,Other
GO-2020000333,2024,1,4,2024-01-04,Auto Theft,Auto Theft,D28,110,Commercial
GO-2020000334,2024,5,6,2024-05-06,Robbery,Robbery,D27,83,Apartment
GO-2020000335,2024,6,25,2024-06-25,Break and Enter,Break and Enter,D36,124,Apartment
GO-2020000336,2022,8,8,2022-08-08,Robbery,Robbery,D45,58,Commercial
GO-2020000337,2024,10,8,2024-10-08,Robbery,Robbery,D15,65,Outside
GO-2020000338,2023,12,4,2023-12-04,Assault,Assault,D54,20,Outside
GO-2020000339,2023,5,12,2023-05-12,Auto Theft,Auto Theft,D34,105,House
GO-2020000340,2022,1,21,2022-01-21,Theft Over,Theft Over,D48,103,Apartment
GO-2020000341,2024,12,24,2024-12-24,Break and Enter,Break and Enter,D26,2,Commercial
GO-2020000342,2024,9,12,2024-09-12,Auto Theft,Auto Theft,D31,71,Other
GO-2020000343,2022,8,11,2022-08-11,Robbery,Robbery,D28,59,Apartment
GO-2020000344,2023,11,4,2023-11-04,Auto Theft,Auto Theft,D42,56,Outside
GO-2020000345,2024,5,26,2024-05-26,Break and Enter,Break and Enter,D27,67,House
GO-2020000346,2023,11,20,2023-11-20,Assault,Assault,D12,19,Commercial
GO-2020000347,2022,1,21,2022-01-21,Auto Theft,Auto Theft,D11,103,Outside
GO-2020000348,2023,7,20,2023-07-20,Assault,Assault,D43,25,Outside
GO-2020000349,2022,11,20,2022-11-20,Assault,Assault,D16,38,Outside
GO-2020000350,2022,1,22,2022-01-22,Assault,Assault,D55,155,Apartment
GO-2020000351,2023,9,15,2023-09-15,Auto Theft,Auto Theft,D29,30,Other
GO-2020000352,2024,9,27,2024-09-27,Auto Theft,Auto Theft,D37,43,Commercial
GO-2020000353,2022,8,25,2022-08-25,Robbery,Robbery,D23,77,Other
GO-2020000354,2023,5,16,2023-05-16,Robbery,Robbery,D18,42,House
GO-2020000355,2023,6,11,2023-06-11,Break and Enter,Break and Enter,D51,24,Other
GO-2020000356,2024,2,24,2024-02-24,Break and Enter,Break and Enter,D24,35,Other
GO-2020000357,2023,3,15,2023-03-15,Assault,Assault,D49,143,Outside
GO-2020000358,2022,1,21,2022-01-21,Assault,Assault,D14,67,Other
GO-2020000359,2023,1,13,2023-01-13,Auto Theft,Auto Theft,D20,89,Other
GO-2020000360,2023,10,3,2023-10-03,Assault,Assault,D43,52,Other
GO-2020000361,2023,2,15,2023-02-15,Break and Enter,Break and Enter,D46,151,Outside
GO-2020000362,2024,4,27,2024-04-27,Assault,Assault,D46,87,Commercial
GO-2020000363,2024,4,13,2024-04-13,Robbery,Robbery,D16,135,Outside
GO-2020000364,2023,4,16,2023-04-16,Break and Enter,Break and Enter,D45,87,Other
GO-2020000365,2022,2,3,2022-02-03,Assault,Assault,D27,111,Outside
GO-2020000366,2024,9,23,2024-09-23,Robbery,Robbery,D34,27,House
GO-2020000367,2024,5,8,2024-05-08,Theft Over,Theft Over,D26,32,House
GO-2020000368,2023,8,19,2023-08-19,Auto Theft,Auto Theft,D33,32,Outside
GO-2020000369,2023,9,23,2023-09-23,Assault,Assault,D28,68,Other
GO-2020000370,2022,12,9,2022-12-09,Theft Over,Theft Over,D27,100,Other
GO-2020000371,2023,10,24,2023-10-24,Assault,Assault,D31,27,House
GO-2020000372,2022,9,28,2022-09-28,Assault,Assault,D46,40,House
GO-2020000373,2023,12,20,2023-12-20,Theft Over,Theft Over,D49,49,Outside
GO-2020000374,2024,9,26,2024-09-26,Assault,Assault,D48,120,House
GO-2020000375,2022,2,3,2022-02-03,Theft Over,Theft Over,D21,37,Commercial
GO-2020000376,2024,5,12,2024-05-12,Assault,Assault,D53,47,Apartment
GO-2020000377,2023,6,17,2023-06-17,Theft Over,Theft Over,D49,124,Apartment
GO-2020000378,2024,6,21,2024-06-21,Assault,Assault,D40,64,Outside
GO-2020000379,2023,6,17,2023-06-17,Auto Theft,Auto Theft,D21,75,Commercial
GO-2020000380,2024,3,24,2024-03-24,Break and Enter,Break and Enter,D25,17,Other
GO-2020000381,2024,10,10,2024-10-10,Assault,Assault,D22,48,House
GO-2020000382,2024,12,28,2024-12-28,Break and Enter,Break and Enter,D16,12,House
GO-2020000383,2023,12,27,2023-12-27,Break and Enter,Break and Enter,D50,68,Outside
GO-2020000384,2023,12,22,2023-12-22,Assault,Assault,D29,67,Other
GO-2020000385,2022,2,19,2022-02-19,Auto Theft,Auto Theft,D24,29,Commercial
GO-2020000386,2022,4,19,2022-04-19,Assault,Assault,D20,66,Outside
GO-2020000387,2022,1,23,2022-01-23,Assault,Assault,D19,74,Commercial
GO-2020000388,2022,9,23,2022-09-23,Auto Theft,Auto Theft,D50,2,Commercial
GO-2020000389,2024,3,18,2024-03-18,Theft Over,Theft Over,D17,11,House
GO-2020000390,2022,10,8,2022-10-08,Auto Theft,Auto Theft,D29,29,Outside
GO-2020000391,2024,3,1,2024-03-01,Break and Enter,Break and Enter,D38,119,Apartment
GO-2020000392,2022,10,28,2022-10-28,Assault,Assault,D35,157,Apartment
GO-2020000393,2023,3,12,2023-03-12,Assault,Assault,D44,103,Commercial
GO-2020000394,2022,2,8,2022-02-08,Robbery,Robbery,D40,89,Apartment
GO-2020000395,2023,1,10,2023-01-10,Auto Theft,Auto Theft,D32,133,Commercial
GO-2020000396,2023,3,20,2023-03-20,Assault,Assault,D16,52,House
GO-2020000397,2023,10,25,2023-10-25,Break and Enter,Break and Enter,D49,12,Other
GO-2020000398,2022,1,17,2022-01-17,Assault,Assault,D25,95,Outside
GO-2020000399,2023,8,9,2023-08-09,Break and Enter,Break and Enter,D43,78,Other
GO-2020000400,2024,9,2,2024-09-02,Assault,Assault,D41,43,Outside
GO-2020000401,2022,2,7,2022-02-07,Robbery,Robbery,D24,50,Apartment
GO-2020000402,2024,10,19,2024-10-19,Assault,Assault,D13,130,House
GO-2020000403,2023,6,12,2023-06-12,Auto Theft,Auto Theft,D51,56,Apartment
GO-2020000404,2022,10,8,2022-10-08,Robbery,Robbery,D42,124,Outside
GO-2020000405,2023,10,1,2023-10-01,Assault,Assault,D52,59,Other
GO-2020000406,2022,9,25,2022-09-25,Assault,Assault,D23,42,Outside
GO-2020000407,2022,8,4,2022-08-04,Theft Over,Theft Over,D26,141,House
GO-2020000408,2022,7,13,2022-07-13,Assault,Assault,D13,135,Apartment
GO-2020000409,2024,2,1,2024-02-01,Break and Enter,Break and Enter,D31,14,Commercial
GO-2020000410,2022,10,2,2022-10-02,Break and Enter,Break and Enter,D16,8,Commercial
GO-2020000411,2023,11,25,2023-11-25,Assault,Assault,D27,127,House
GO-2020000412,2023,3,14,2023-03-14,Robbery,Robbery,D27,21,Apartment
GO-2020000413,2023,8,15,2023-08-15,Assault,Assault,D48,130,Apartment
GO-2020000414,2022,2,18,2022-02-18,Theft Over,Theft Over,D22,134,Outside
GO-2020000415,2024,1,8,2024-01-08,Assault,Assault,D54,16,Outside
GO-2020000416,2022,3,21,2022-03-21,Theft Over,Theft Over,D25,34,Commercial
GO-2020000417,2024,4,19,2024-04-19,Assault,Assault,D49,42,Apartment
GO-2020000418,2023,7,11,2023-07-11,Assault,Assault,D22,47,Apartment
GO-2020000419,2024,7,4,2024-07-04,Assault,Assault,D30,27,Apartment
GO-2020000420,2022,6,2,2022-06-02,Theft Over,Theft Over,D53,100,House
GO-2020000421,2022,3,9,2022-03-09,Assault,Assault,D24,34,House
GO-2020000422,2022,6,12,2022-06-12,Robbery,Robbery,D46,65,House
GO-2020000423,2022,6,24,2022-06-24,Assault,Assault,D21,71,House
GO-2020000424,2022,5,26,2022-05-26,Break and Enter,Break and Enter,D54,22,Apartment
GO-2020000425,2022,3,4,2022-03-04,Assault,Assault,D17,2,Commercial
GO-2020000426,2022,10,16,2022-10-16,Assault,Assault,D27,89,Apartment
GO-2020000427,2024,1,3,2024-01-03,Auto Theft,Auto Theft,D37,49,Apartment
GO-2020000428,2023,6,24,2023-06-24,Break and Enter,Break and Enter,D45,25,Commercial
GO-2020000429,2024,10,25,2024-10-25,Assault,Assault,D29,72,House
GO-2020000430,2022,2,2,2022-02-02,Assault,Assault,D51,63,House
GO-2020000431,2024,11,16,2024-11-16,Assault,Assault,D20,46,House
GO-2020000432,2024,1,7,2024-01-07,Auto Theft,Auto Theft,D36,29,Commercial
GO-2020000433,2024,7,28,2024-07-28,Break and Enter,Break and Enter,D12,115,Other
GO-2020000434,2024,4,20,2024-04-20,Auto Theft,Auto Theft,D34,45,Other
GO-2020000435,2022,3,13,2022-03-13,Break and Enter,Break and Enter,D25,53,Commercial
GO-2020000436,2024,8,5,2024-08-05,Robbery,Robbery,D17,75,Commercial
GO-2020000437,2023,5,5,2023-05-05,Break and Enter,Break and Enter,D51,71,Other
GO-2020000438,2023,5,7,2023-05-07,Theft Over,Theft Over,D55,101,Commercial
GO-2020000439,2024,1,8,2024-01-08,Robbery,Robbery,D36,49,Outside
GO-2020000440,2024,4,4,2024-04-04,Robbery,Robbery,D44,82,Other
GO-2020000441,2023,8,18,2023-08-18,Assault,Assault,D23,10,House
GO-2020000442,2022,5,19,2022-05-19,Auto Theft,Auto Theft,D42,55,Apartment
GO-2020000443,2023,10,10,2023-10-10,Assault,Assault,D35,54,Other
GO-2020000444,2024,7,6,2024-07-06,Assault,Assault,D35,71,Other
GO-2020000445,2022,1,10,2022-01-10,Assault,Assault,D23,14,Other
GO-2020000446,2024,7,10,2024-07-10,Assault,Assault,D50,151,Apartment
GO-2020000447,2023,7,7,2023-07-07,Theft Over,Theft Over,D14,144,Outside
GO-2020000448,2022,2,18,2022-02-18,Robbery,Robbery,D28,154,Other
GO-2020000449,2024,7,3,2024-07-03,Break and Enter,Break and Enter,D15,90,Apartment
GO-2020000450,2022,1,4,2022-01-04,Assault,Assault,D11,129,Apartment
GO-2020000451,2022,1,24,2022-01-24,Assault,Assault,D21,50,Outside
GO-2020000452,2024,6,17,2024-06-17,Break and Enter,Break and Enter,D11,85,Outside
GO-2020000453,2024,11,8,2024-11-08,Break and Enter,Break and Enter,D52,6,Other
GO-2020000454,2024,1,16,2024-01-16,Theft Over,Theft Over,D34,82,House
GO-2020000455,2022,1,28,2022-01-28,Assault,Assault,D24,75,Outside
GO-2020000456,2023,2,5,2023-02-05,Assault,Assault,D40,51,Apartment
GO-2020000457,2024,6,21,2024-06-21,Robbery,Robbery,D51,148,Apartment
GO-2020000458,2024,5,21,2024-05-21,Robbery,Robbery,D53,119,Apartment
GO-2020000459,2023,2,8,2023-02-08,Theft Over,Theft Over,D11,39,Outside
GO-2020000460,2022,9,20,2022-09-20,Assault,Assault,D40,21,Apartment
GO-2020000461,2023,9,4,2023-09-04,Assault,Assault,D43,1,Outside
GO-2020000462,2023,8,13,2023-08-13,Assault,Assault,D36,31,Outside
GO-2020000463,2022,3,27,2022-03-27,Robbery,Robbery,D40,58,Other
GO-2020000464,2023,12,2,2023-12-02,Assault,Assault,D55,80,Commercial
GO-2020000465,2024,9,26,2024-09-26,Auto Theft,Auto Theft,D45,96,Commercial
GO-2020000466,2024,11,24,2024-11-24,Auto Theft,Auto Theft,D14,54,House
GO-2020000467,2024,12,19,2024-12-19,Auto Theft,Auto Theft,D15,129,Other
GO-2020000468,2023,6,20,2023-06-20,Robbery,Robbery,D28,67,Apartment
GO-2020000469,2022,1,18,2022-01-18,Assault,Assault,D46,6,Other
GO-2020000470,2023,10,13,2023-10-13,Theft Over,Theft Over,D49,9,Outside
GO-2020000471,2024,2,4,2024-02-04,Assault,Assault,D23,11,House
GO-2020000472,2022,8,10,2022-08-10,Theft Over,Theft Over,D13,29,Outside
GO-2020000473,2023,10,28,2023-10-28,Auto Theft,Auto Theft,D44,91,Commercial
GO-2020000474,2023,5,17,2023-05-17,Assault,Assault,D15,151,Apartment
GO-2020000475,2022,6,5,2022-06-05,Break and Enter,Break and Enter,D33,95,Other
GO-2020000476,2024,4,26,2024-04-26,Assault,Assault,D20,49,Apartment
GO-2020000477,2024,4,22,2024-04-22,Assault,Assault,D29,11,Outside
GO-2020000478,2023,9,28,2023-09-28,Assault,Assault,D13,22,Apartment
GO-2020000479,2024,11,14,2024-11-14,Auto Theft,Auto Theft,D14,67,Apartment
GO-2020000480,2023,4,28,2023-04-28,Break and Enter,Break and Enter,D47,123,Other
GO-2020000481,2022,8,21,2022-08-21,Theft Over,Theft Over,D38,133,Outside
GO-2020000482,2024,2,25,2024-02-25,Assault,Assault,D36,21,Outside
GO-2020000483,2024,11,8,2024-11-08,Theft Over,Theft Over,D32,94,Other
GO-2020000484,2024,1,24,2024-01-24,Assault,Assault,D30,152,Outside
GO-2020000485,2023,3,9,2023-03-09,Assault,Assault,D14,99,Other
GO-2020000486,2024,8,14,2024-08-14,Break and Enter,Break and Enter,D14,107,Outside
GO-2020000487,2024,1,12,2024-01-12,Assault,Assault,D47,27,Other
GO-2020000488,2024,7,16,2024-07-16,Theft Over,Theft Over,D47,45,Commercial
GO-2020000489,2023,10,14,2023-10-14,Assault,Assault,D25,48,Apartment
GO-2020000490,2022,9,15,2022-09-15,Auto Theft,Auto Theft,D14,79,Outside
GO-2020000491,2023,5,17,2023-05-17,Theft Over,Theft Over,D20,17,Apartment
GO-2020000492,2024,10,11,2024-10-11,Assault,Assault,D47,24,Apartment
GO-2020000493,2024,6,17,2024-06-17,Auto Theft,Auto Theft,D28,52,Commercial
GO-2020000494,2023,6,23,2023-06-23,Break and Enter,Break and Enter,D32,16,Other
GO-2020000495,2022,3,10,2022-03-10,Assault,Assault,D54,46,Other
GO-2020000496,2022,2,20,2022-02-20,Break and Enter,Break and Enter,D13,79,Commercial
GO-2020000497,2022,8,5,2022-08-05,Break and Enter,Break and Enter,D19,102,Commercial
GO-2020000498,2023,9,12,2023-09-12,Theft Over,Theft Over,D41,17,Other
GO-2020000499,2022,3,18,2022-03-18,Auto Theft,Auto Theft,D19,26,House
